Title,Price (€),Price ($),Ingredients,URL
2.5Kg Bulk 41% Milk Hot Chocolate Drops,50,68,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5Kg Bulk 61% Dark Hot Chocolate Drops,50,68,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,8,10.88,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,8,10.88,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/62-dark-hot-chocolate
Almost Perfect,1,1.36,No Ingredients,/products/almost-perfect
Assorted Chocolate Malt Balls,9,12.24,"White Chocolate (25%) (32% Cocoa Minimum, Pure Cocoa Butter) (65%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Caramelised Sugar, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring, Salt. Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Dark Chocolate (25%) (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt. Gum Arabic.",/products/assorted-chocolate-malt-balls
Blonde Caramel,5,6.8,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring.",/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,8,10.88,"White Chocolate (Min 35% Cocoa Min, Pure Cocoa Butter, 24.7% Milk Solids): Cocoa Butter, Sugar, Whole Milk Powder, Dried Skimmed Milk, Whey, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Extract, Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,9,12.24,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter) (65%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Caramelised Sugar, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring, Salt. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,19,25.84,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter, 24.7% Milk Solid) Sugar, Cocoa Butter, Whole Milk Powder, Dried Skimmed Milk, Whey, Butter, Emulsifier (Soya Lecithin), Natural Vanilla Extract, Cream, Glucose, Sorbitol, Sunflower Lecithin.",/products/blonde-chocolate-truffles
Bulk 41% Milk Hot Chocolate Drops 750 Grams,17,23.12,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 Grams,17,23.12,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,5,6.8,"Milk Chocolate (39% Cocoa Solids, Pure Cocoa Butter): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Solids, Skimmed Milk, Whey (milk), Butter (milk), Emulsifier : Soya Lecithin, Flavourings.",/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,5,6.8,"Milk Chocolate (35%) (Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin, Sunflower Lecithin), Natural Vanilla Extract, Blonde Chocolate (65%) (Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter (Milk), Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring), Star Anise Oil, Ginger Oil, Cinnamon OIl, Clove Oil.",/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,8,10.88,"Caramelised Pecans (60%): Pecan Nut, Sugar. Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (40%): Sugar, Cocoa Butter, Milk Powder, Cocoa Mass, Emulsifier: Soya Lecithin, Vanilla Extract.",/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,55,74.8,No Ingredients,/products/celebration-hamper
Christmas Cracker,5,6.8,"Milk Chocolate (43% Cocoa Min, Pure Cocoa Butter, 19% Milk Solids) (93%): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Biscuit Pearls (3.5%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulsifier: (Sunflower Lecithin), Natural Vanilla Extract. Popping Candy (3.5%): Sugar, Cocoa Butter, Lactose, Milk Powder, Cocoa Paste, Glucose Syrup, Butter, Emulsifier: Soya Lecithin, Vanilla, Propellent Gas: Carbon Dioxide, E290.",/products/christmas-cracker-chocolate-bar
Cinnamon Toast,5,6.8,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (95.47%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Sourdough Cracker (4.5%): Milk, Rye Flour, Wheat Flour (Wheat Flour, Calcium, Iron, Thiamin, Niacin), Sourdough 12% (Rye Flour, Water), Wholemeal Wheat Flour, Honey, Salt. Organic Cinnamon Essential Oil (0.03%).",/products/cinnamon-toast-chocolate-bar
Collection Of 4 Of Our Best Selling Chocolate Malt Balls,30,40.8,"Milk Chocolate (75%) (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolysed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Emulsifier: Soya Lecithin. Organic Sweet Orange Essential Oil, Gum Arabic.",/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,5,6.8,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya Lecithin), Vanilla Extract.",/products/colombian-dark-chocolate-bar
Crunchy Biscuit,5,6.8,"Caramelised White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (96%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Biscuit Pearls (4%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulisifer: (Sunflower Lecithin), Natural Vanilla Extract.",/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,8,10.88,"Ginger (55%): Ginger, Sugar, Wheat Glucose Syrup, Wheat Dextrose. Dark Chocolate (61% Cocoa minimum, Pure Cocoa Butter) (45%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya lecithin), Vanilla Extract.",/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,8,10.88,"Dark Chocolate (61% Cocoa Min, Pure Cocoa Butter) Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Extract, Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,9,12.24,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,10,13.6,"Candied Orange Peel (55%): Orange Peel, Sugar, Wheat Glucose Syrup, Wheat Dextrose. Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (45%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya lecithin), Vanilla Extract.",/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,19,25.84,"Dark Chocolate (55% Cocoa Minimum, Pure Cocoa Butter), Sugar, Cocoa Beans, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Glucose, Cream, Sorbitol, Butter, UHT Whole Milk, Dextrose, Sunflower Lecithin.",/products/dark-chocolate-truffles
Ecudorian 41%,5,6.8,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin) Vanilla Extract.",/products/ecuadorian-41-milk-chocolate-bar
Flat White Coffee,5,6.8,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%), White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Whole Milk Powder, Skimmed Milk Powder, Emulsifier: (Soya Lecithin), Vanilla Extract, Coffee.",/products/flat-white-coffee
Gift Voucher,10,13.6,No Ingredients,/products/gift-voucher
Ginger Biscuit,5,6.8,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (96.33%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Biscuit Pearls (3.6%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulsifier: (Sunflower Lecithin), Natural Vanilla Extract. Organic Ginger Essential Oil (0.06%). Organic Cinnamon Essential Oil (0.01%).",/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,5,6.8,"Milk Chocolate (41% Cocoa Min, Pure Cocoa Butter) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Honeycomb (3%) (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",/products/honeycomb-crunch
Hot Chocolate Shaker,25,34,No Ingredients,/products/hot-chocolate-shaker-new
Luxury Hot Chocolate Hamper,55,74.8,No Ingredients,/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,19,25.84,"Milk Chocolate (40% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Natural Vanilla Extract, Sorbitol, Glucose Syrup, Anhydrous Butter (Milk), Icing Sugar, Skimmed Milk, Marc De Champagne, Glycerin, Sunflower Lecithin.",/products/marc-de-champagne-truffles
Marmalade,5,6.8,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (99.8%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Vanilla Extract. Organic Bitter Orange Essential Oil (0.2%).",/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb - Bag,8,10.88,"Milk Chocolate (41% Cocoa Min, Pure Cocoa Butter) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,9,12.24,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,19,25.84,"Milk Chocolate (37% Cocoa Minimum, Pure Cocoa Butter, 21% Milk Solids) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier (Soya Lecithin) Natural Vanilla Extract. Cream, Sorbitol, Glucose, Butter, Sunflower Lecithin.",/products/milk-chocolate-truffles
Orange Malt Balls,8,10.88,"Milk Chocolate (75%) (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolysed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Emulsifier: Soya Lecithin. Organic Sweet Orange Essential Oil, Gum Arabic.",/products/orange-malt-balls
Peppermint Malt Balls,8,10.88,"White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter), Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Whole Milk Powder, Skimmed Milk Powder, Emulsifier: (Soya Lecithin), Vanilla Extract. Malt Ball Centres: Corn Syrup, Sugar, Dairy Blend (Whey, WheyProtein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolysed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Emulsifier: Soya Lecithin; Salt. Cocoa Butter, E102, E129. Organic Peppermint Essential Oil. Gum Arabic.",/products/peppermint-malt-balls
Peppermint Swirl,5,6.8,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (65%), White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter) (34.9%): Cocoa Beans, Sugar, Cocoa Butter, Whole Milk Powder, Skimmed Milk Powder, Emulsifier: (Soya Lecithin), Vanilla Extract. Organic Peppermint Essential Oil (0.1%).",/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,5,6.8,"White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter): Sugar, Cocoa Butter, Whole Milk Powder, Emulsifier: Soya Lecithin, Natural Vanilla Flavouring. Organic Dried Cranberries (8%): Cranberries, Sugar, Vegetable Oil. Pistachios (4%).",/products/pistachio-cranberry-chocolate-bar
Pretzel Caramel,5,6.8,"Milk Chocolate (43% Cocoa Min, Pure Cocoa Butter, 19% Milk Solids) (91%): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Pretzel Pieces (7%): Wheat Flour, Sunflower Oil, Salt, Poppy Seeds,  Malted Wheat Flour, Smoke Flavouring, Yeast, Acidity Regulator: Sodium hydroxide. Caramel Chips (2%): Sugar, Glucose Syrup, Sweetened Condensed Milk, Salted Butter, Water.",/products/pretzel-caramel-chocolate-bar
Roasted Almonds,8,10.88,No Ingredients,/products/cocoa-dusted-almonds
Rose & Violet Creams,12,16.32,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Sugar, Glucose Syrup, Water, Crystalise Rose & Violet Pieces Pieces (Sugar, Acacia Gum, Natural Rose Flower, Natural Violet Flower, Colouring: E120, E132, E141, Aroma), Natural Flavouring",/products/rose-violet-creams
Salt Caramel Malt Balls,9,12.24,"Milk Chocolate (75%) (39% Cocoa Solids, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Solids, Skimmed Milk, Whey (milk), Butter (milk), Emulsifier: Soya Lecithin, Emulsifier: Sunflower Lecithin, Flavourings. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolysed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Emulsifier: Soya Lecithin. Salt, Gum Arabic.",/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,8,10.88,"Caramelised Hazelnuts (50%): Hazelnuts, Sugar. Milk chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (49%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: (SoyaLecithin) Vanilla Extract. Cocoa Powder (1%)",/products/salt-caramelised-hazelnuts
Salted Caramel,5,6.8,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter) (98%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Caramelised Sugar, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring, Salt. Sea Salt (2%).",/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,12,16.32,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya lecithin, Natural Vanilla Extract, Flaked Almonds, Sugar, Hazelnuts, Butter (Milk), Cream (Milk), Sultanas (Sunflower Oil), Glucose syrup, Golden Syrup (Partially Inverted Refiner’s Syrup), Candied Mixed Peel (Orange Peel, Glucose Fructose Syrup, Lemon Peel), Sea Salt.",/products/salted-caramel-florentines
Salted Caramels Blonde Chocolate,19,25.84,"White Chocolate (35% Cocoa Solids, Pure Cocoa Butter): Sugar, Cocoa Butter, Whole Milk Powder, Skimmed Milk, Whey (milk), Butter (milk), Emulsifier: (Soya Lecithin), Flavourings, Cream (milk), Golden Granulated Sugar, Glucose, Cocoa Butter, Butter (milk), Sea Salt 0.5%.",/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,19,25.84,"Dark Chocolate (55% Cocoa Minimum, Pure Cocoa Butter), Sugar, Cocoa Beans, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Cream, Sugar, Glucose, Butter, Cocoa Butter, Vanilla. Sea Salt. Cocoa Powder, E171, E172.",/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,19,25.84,"Milk Chocolate (37% Cocoa Minimum, Pure Cocoa Butter, 21% Milk Solids), Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Cream, Sugar, Glucose, Butter, Cocoa Butter, Vanilla. Sea Salt. Cocoa Powder, E171.",/products/salt-caramels-milk-chocolate
Tea & Biscuit,5,6.8,"Blonde Chocolate (63.72%) (Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring.) Dark Chocolate (34.26%) (Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Sunflower Lecithin, Vanilla Extract) Biscuit Pearls (1.97%) (Dark Chocolate Coating, White Chocolate Coating, Sugar, Cocoa Beans, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Dried Skimmed Milk, Whey (Milk), Butter (Milk), Emulsifier: (Sunflower Lecithin), Maltodextrin, Glazing Agent: Shellac, Natural Vanilla Extract) Organic Bergamot Oil (0.05%).",/products/tea-biscuit-chocolate-bar
Velvet White,5,6.8,"White Chocolate (100%): Sugar, Cocoa Butter, Whole Milk Powder, Emulsifier: Soya Lecithin, Natural Vanilla Flavouring.",/products/velvet-white-chocolate-bar
